Date,Description,Amount,Running Bal.,BERT_Category,Cluster,Cluster_Summary
12/23/24,NBPA - PARKMOBILE. 12/21 PURCHASE NEW BRUNSWICK NJ,-2.35,"9,014.90",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
12/23/24,TARGET T-1929 12/21 PURCHASE South Plainfi NJ,-16.94,"8,997.96",Retail,7,"$1,000"
12/24/24,"RUTGERS UNIVERSI DES:PAYROLL ID:00185486 INDN:PATEL,SPARSH V CO ID:XXXXX01086 PPD",195.3,"9,193.26",Retail,4,*etsy is the name of a company that is listed on the website of the University of Michigan
12/26/24,AG TRAVEL PLAZA 3601101 12/24 PURCHASE WALLKILL NY,-13.37,"9,179.89",Retail,7,"$1,000"
12/27/24,AMAZON MARK* ZE23P6E80 12/23 PURCHASE HTTPSAMAZON.C WA,-21.23,"9,158.66",Retail,7,"$1,000"
12/30/24,TOPS MARKETS #700 12/27 PURCHASE CORINTH NY,-5.89,"9,152.77",Retail,7,"$1,000"
12/30/24,NEW HAIR CULTURE INC 12/29 PURCHASE EDISON NJ,-42.32,"9,110.45",Food & Dining,9,The following is a list of all of the items that are listed in the following order
12/31/24,TARGET T-1929 12/31 PURCHASE South Plainfi NJ,-22.52,"9,087.93",Retail,7,"$1,000"
1/2/25,EXXON AMRIT INC 12/31 PURCHASE NEW BRUNSWICK NJ,-20,"9,067.93",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
1/2/25,PROSKATENJ.COM 12/31 PURCHASE XXX-XX809679 NJ,-34,"9,033.93",Retail,7,"$1,000"
1/2/25,BLAZE PIZZA - 1285 - BR 12/31 PURCHASE 732-356-1357 NJ,-34.76,"8,999.17",Retail,7,"$1,000"
1/3/25,HUEY'S KNIGHT CLUB 12/31 PURCHASE NEW BRUNSWICK NJ,-6.2,"8,992.97",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
1/3/25,HUEY'S KNIGHT CLUB 12/31 PURCHASE NEW BRUNSWICK NJ,-6.2,"8,986.77",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
1/3/25,Etsy.com - SponkEditing 01/02 PURCHASE XXX-XX93879 NY,-0.4,"8,986.37",Retail,7,"$1,000"
1/3/25,Zelle payment to Timothy Price Conf# fvj8rrljv,-312,"8,674.37",Retail,7,"$1,000"
1/10/25,"RUTGERS UNIVERSI DES:PAYROLL ID:00185486 INDN:PATEL,SPARSH V CO ID:XXXXX01086 PPD",109.78,"8,784.15",Retail,4,*etsy is the name of a company that is listed on the website of the University of Michigan
1/13/25,CHIPOTLE 1772 01/12 PURCHASE SOUTH PLAINFI NJ,-9.97,"8,774.18",Retail,8,This is the first time I've ever purchased a new car
1/13/25,MARSHALLS #230 01/12 PURCHASE SO PLAINFIELD NJ,-19.99,"8,754.19",Retail,7,"$1,000"
1/15/25,MARSHALLS #230 01/14 PURCHASE SO PLAINFIELD NJ,-13.99,"8,740.20",Retail,7,"$1,000"
1/16/25,MARSHALLS #230 01/14 REFUND SO PLAINFIELD NJ,19.99,"8,760.19",Retail,7,"$1,000"
1/21/25,EASTON DELI & CONVENIEN 01/17 PURCHASE NEW BRUNSWICK NJ,-5.28,"8,754.91",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
1/21/25,NJT RAIL MY-TIX 01/17 PURCHASE 973-378-6339 NJ,-32.2,"8,722.71",Retail,5,This is a very popular and well-known brand
1/21/25,TST* SPICY MOON - CHELS 01/17 PURCHASE NEW YORK NY,-107.59,"8,615.12",Retail,0,This is a list of all of the items that have been added to the list
1/21/25,TST* PARIS BAGUETTE - 3 01/17 PURCHASE NEW YORK NY,-7.8,"8,607.32",Retail,0,This is a list of all of the items that have been added to the list
1/21/25,ANITA GELATO GARDEN 01/17 PURCHASE NEW YORK NY,-21.29,"8,586.03",Retail,0,This is a list of all of the items that have been added to the list
1/21/25,NJT RAIL MY-TIX 01/18 PURCHASE 973-378-6339 NJ,-32.2,"8,553.83",Retail,5,This is a very popular and well-known brand
1/21/25,VENMO DES:PAYMENT ID:XXXXX91856297 INDN:SPARSH PATEL CO ID:XXXXX81992 WEB,-28,"8,525.83",Retail,4,*etsy is the name of a company that is listed on the website of the University of Michigan
1/22/25,CPI*CANTEEN VENDING AVE 01/20 PURCHASE 800-628-8363 NJ,-3.1,"8,522.73",Retail,7,"$1,000"
1/22/25,CHIPOTLE 1256 01/21 PURCHASE NEW BRUNSWICK NJ,-10.29,"8,512.44",Food & Dining,8,This is the first time I've ever purchased a new car
1/23/25,NEW BRUNSWICK MUNICIPAL 01/22 PURCHASE WWW.NEWJERSEY KS,-53.56,"8,458.88",Retail,7,"$1,000"
1/27/25,COOK CAFE 01/24 PURCHASE NEW BRUNSWICK NJ,-4.25,"8,454.63",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
1/27/25,HUEY'S KNIGHT CLUB 01/24 PURCHASE NEW BRUNSWICK NJ,-5.7,"8,448.93",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
1/27/25,HUEY'S KNIGHT CLUB 01/25 PURCHASE NEW BRUNSWICK NJ,-5.7,"8,443.23",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
1/27/25,HUEY'S KNIGHT CLUB 01/25 PURCHASE NEW BRUNSWICK NJ,-21.94,"8,421.29",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
1/27/25,SCARLET PUB 01/24 PURCHASE NEW BRUNSWICK NJ,-13.86,"8,407.43",Food & Dining,5,This is a very popular and well-known brand
2/3/25,"Zelle payment from SANIKA DIGHE for Sanika & Sanchita Miami Flight tickets""; Conf# n78cdq9vn""",363.18,"8,770.61",Retail,7,"$1,000"
2/3/25,"Zelle payment from TISHA PADIA for Flight Tickets""; Conf# vgkpfaxbc""",182,"8,952.61",Retail,7,"$1,000"
2/3/25,Zelle payment from YATHARTH RAUT Conf# 01YEVOLFA,181.59,"9,134.20",Retail,7,"$1,000"
2/3/25,JETBLUE XXXXX743695 02/01 PURCHASE XXXXX82583 NY,-181.59,"8,952.61",Retail,7,"$1,000"
2/3/25,JETBLUE XXXXX743695 02/01 PURCHASE XXXXX82583 NY,-181.59,"8,771.02",Retail,7,"$1,000"
2/3/25,JETBLUE XXXXX743695 02/01 PURCHASE XXXXX82583 NY,-181.59,"8,589.43",Retail,7,"$1,000"
2/3/25,JETBLUE XXXXX743695 02/01 PURCHASE XXXXX82583 NY,-181.59,"8,407.84",Retail,7,"$1,000"
2/3/25,JETBLUE XXXXX743695 02/01 PURCHASE XXXXX82583 NY,-181.59,"8,226.25",Retail,7,"$1,000"
2/3/25,Etsy.com - SponkEditing 02/01 PURCHASE XXX-XX93879 NY,-2,"8,224.25",Retail,7,"$1,000"
2/3/25,R U HUNGRY 02/03 PURCHASE NEW BRUNSWICK NJ,-7.36,"8,216.89",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
2/4/25,"ETSY, INC. DES:PAYOUT ID:etsy INDN:Sparsh Patel CO ID:XXXXX12331 PPD PMT INFO:TRN*1*etsy**4VXMTN65V253SE30\RMR*IK*etsy .com\",0.2,"8,217.09",Retail,4,*etsy is the name of a company that is listed on the website of the University of Michigan
2/4/25,INSOMNIA COOKIES- NEW 02/02 PURCHASE NEW BRUNSWICK NJ,-6.16,"8,210.93",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
2/4/25,SP NJ SKATESHOP 02/03 PURCHASE XXX-XX651300 NJ,-23.4,"8,187.53",Retail,7,"$1,000"
2/7/25,CPI*CANTEEN VENDING AVE 02/06 PURCHASE 800-628-8363 NJ,-2.6,"8,184.93",Retail,7,"$1,000"
2/7/25,CPI*CANTEEN VENDING AVE 02/05 PURCHASE 800-628-8363 NJ,-2.6,"8,182.33",Retail,7,"$1,000"
2/10/25,TST* 16 HANDLES - RUTGE 02/06 PURCHASE PISCATAWAY NJ,-7.39,"8,174.94",Retail,1,This is the first time I've seen a new product that has been made in the United States
2/10/25,TST* 16 HANDLES - RUTGE 02/06 PURCHASE PISCATAWAY NJ,-4.64,"8,170.30",Retail,1,This is the first time I've seen a new product that has been made in the United States
2/10/25,CG LAUNDRY RUTGERS COLL 02/07 PURCHASE XXX-XX46100 NJ,-10,"8,160.30",Retail,7,"$1,000"
2/11/25,TST*SCHNUR MEYER SWEETS 02/09 PURCHASE New Brunswick NJ,-7.41,"8,152.89",Food & Dining,1,This is the first time I've seen a new product that has been made in the United States
2/13/25,Transfer VENMO,28.85,"8,181.74",Retail,2,The transfer keyword is used to indicate that a particular action is being performed
2/13/25,WOODYS CAFE 02/11 PURCHASE PISCATAWAY NJ,-3,"8,178.74",Food & Dining,7,"$1,000"
2/14/25,THE BANANA BAR CRAWL 02/13 PURCHASE JOINGUESTLIST TX,-58.73,"8,120.01",Food & Dining,7,"$1,000"
2/18/25,EASTON DELI & CONVENIEN 02/14 PURCHASE NEW BRUNSWICK NJ,-16.05,"8,103.96",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
2/18/25,SQ *VEGANIZED 02/14 PURCHASE New Brunswick NJ,-56.86,"8,047.10",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
2/18/25,TST*MR. TACOS TAQUERIA 02/15 PURCHASE New Brunswick NJ,-22.32,"8,024.78",Retail,1,This is the first time I've seen a new product that has been made in the United States
2/18/25,SCARLET PUB 02/15 PURCHASE NEW BRUNSWICK NJ,-15.8,"8,008.98",Food & Dining,5,This is a very popular and well-known brand
2/21/25,"RUTGERS UNIVERSI DES:PAYROLL ID:00185486 INDN:PATEL,SPARSH V CO ID:XXXXX01086 PPD",194.67,"8,203.65",Retail,4,*etsy is the name of a company that is listed on the website of the University of Michigan
2/24/25,Zelle payment from YATHARTH RAUT Conf# 01YZC7PJK,27,"8,230.65",Retail,7,"$1,000"
2/24/25,SCARLET PUB 02/21 PURCHASE NEW BRUNSWICK NJ,-10.53,"8,220.12",Food & Dining,5,This is a very popular and well-known brand
2/24/25,Zelle payment to Yatharth Conf# ha890kjh4,-485.25,"7,734.87",Retail,7,"$1,000"
2/28/25,UBER EATS DES:UBER EATS ID:ST-Q5T1O4L6I9J8 INDN:SPARSH V PATEL CO ID:XXXXX48598 WEB,-23.43,"7,711.44",Retail,4,*etsy is the name of a company that is listed on the website of the University of Michigan
3/3/25,SHOPRITE HADLEY CMNS S 02/28 PURCHASE SOUTH PLAINFI NJ,-3.59,"7,707.85",Retail,7,"$1,000"
3/6/25,HUEY'S KNIGHT CLUB 03/04 PURCHASE NEW BRUNSWICK NJ,-10.4,"7,697.45",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
3/6/25,HUEY'S KNIGHT CLUB 03/04 PURCHASE NEW BRUNSWICK NJ,-9.32,"7,688.13",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
3/7/25,"RUTGERS UNIVERSI DES:PAYROLL ID:00185486 INDN:PATEL,SPARSH V CO ID:XXXXX01086 PPD",39.2,"7,727.33",Retail,4,*etsy is the name of a company that is listed on the website of the University of Michigan
3/10/25,CHIPOTLE 1256 03/07 PURCHASE NEW BRUNSWICK NJ,-10.29,"7,717.04",Food & Dining,8,This is the first time I've ever purchased a new car
3/11/25,WALGREENS #6908 03/10 PURCHASE NEW BRUNSWICK NJ,-11.87,"7,705.17",Food & Dining,7,"$1,000"
3/17/25,JETBLUE XXXXX639667 03/14 PURCHASE XXXXX82583 NY,-45,"7,660.17",Retail,7,"$1,000"
3/17/25,TOP OF THE FALLS 03/15 PURCHASE MIAMI BEACH FL,-14.27,"7,645.90",Food & Dining,8,This is the first time I've ever purchased a new car
3/17/25,DPT OF TRANSPORTATION A 03/16 PURCHASE MIAMI FL,-2.25,"7,643.65",Retail,8,This is the first time I've ever purchased a new car
3/17/25,CVS/PHARMACY # 03/17 PURCHASE Miami FL,-24.48,"7,619.17",Retail,8,This is the first time I've ever purchased a new car
3/19/25,SMOKERS WORLD 03/17 PURCHASE MIAMI BEACH FL,-25.47,"7,593.70",Food & Dining,8,This is the first time I've ever purchased a new car
3/19/25,UBER TRIP DES:UBER TRIP ID:ST-J7P3H0U3H1X5 INDN:SPARSH V PATEL CO ID:XXXXX48598 WEB,-45.31,"7,548.39",Retail,4,*etsy is the name of a company that is listed on the website of the University of Michigan
3/19/25,UBER TRIP DES:UBER TRIP ID:ST-E8N0J7F3J6G5 INDN:SPARSH V PATEL CO ID:XXXXX48598 WEB,-35.68,"7,512.71",Retail,4,*etsy is the name of a company that is listed on the website of the University of Michigan
3/20/25,TST*MEXI CAFE 03/19 PURCHASE miami beach FL,-10.59,"7,502.12",Food & Dining,8,This is the first time I've ever purchased a new car
3/20/25,DPT OF TRANSPORTATION A 03/19 PURCHASE MIAMI FL,-2.25,"7,499.87",Retail,8,This is the first time I've ever purchased a new car
3/21/25,"RUTGERS UNIVERSI DES:PAYROLL ID:00185486 INDN:PATEL,SPARSH V CO ID:XXXXX01086 PPD",89.75,"7,589.62",Retail,4,*etsy is the name of a company that is listed on the website of the University of Michigan
3/24/25,SQ *HIDDEN GROUNDS CHAI 03/21 PURCHASE New Brunswick NJ,-18.01,"7,571.61",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
3/24/25,SHOPRITE HADLEY CMNS S 03/21 PURCHASE SOUTH PLAINFI NJ,-11.5,"7,560.11",Retail,7,"$1,000"
3/24/25,EASTON DELI & CONVENIEN 03/21 PURCHASE NEW BRUNSWICK NJ,-7.41,"7,552.70",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
3/24/25,SP OAK HALL CAP GOWN 03/23 PURCHASE OAKHALLCG.COM VA,-167.93,"7,384.77",Retail,7,"$1,000"
3/24/25,SPLITWISE DES:PAYMENT ID:75A0FCD3AB9F48C INDN:SPARSH PATEL CO ID:XXXXX00000 PPD,-108.13,"7,276.64",Retail,4,*etsy is the name of a company that is listed on the website of the University of Michigan
3/26/25,EASTON SMOKES 03/25 PURCHASE NEW BRUNSWICK NJ,-13.28,"7,263.36",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
3/26/25,SPLITWISE DES:PAYMENT ID:0387354AC3A74D4 INDN:SPARSH PATEL CO ID:XXXXX00000 PPD,-181.59,"7,081.77",Retail,4,*etsy is the name of a company that is listed on the website of the University of Michigan
3/26/25,SPLITWISE DES:PAYMENT ID:57FAA34082FC441 INDN:SPARSH PATEL CO ID:XXXXX00000 PPD,-39.42,"7,042.35",Retail,4,*etsy is the name of a company that is listed on the website of the University of Michigan
3/27/25,Transfer VENMO,8.81,"7,051.16",Retail,2,The transfer keyword is used to indicate that a particular action is being performed
3/27/25,AMSTERDAM SMOKE SHOP 03/25 PURCHASE NEW BRUNSWICK NJ,-14.4,"7,036.76",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
3/27/25,AMSTERDAM SMOKE SHOP 03/25 PURCHASE NEW BRUNSWICK NJ,-1.56,"7,035.20",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
3/31/25,Transfer VENMO,41.17,"7,076.37",Retail,2,The transfer keyword is used to indicate that a particular action is being performed
3/31/25,7-ELEVEN 35664 03/27 PURCHASE NEW BRUNSWICK NJ,-9.25,"7,067.12",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
3/31/25,FUKUYA LIFE STORE - NJ 03/29 PURCHASE EDISON NJ,-6.37,"7,060.75",Retail,9,The following is a list of all of the items that are listed in the following order
4/4/25,"RUTGERS UNIVERSI DES:PAYROLL ID:00185486 INDN:PATEL,SPARSH V CO ID:XXXXX01086 PPD",46.1,"7,106.85",Retail,4,*etsy is the name of a company that is listed on the website of the University of Michigan
4/4/25,KNIGHTS DELI GROCERY 04/04 PURCHASE NEW BRUNSWICK NJ,-4.38,"7,102.47",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
4/7/25,SP OAK HALL CAP GOWN 04/03 REFUND SALEM VA,16.02,"7,118.49",Retail,7,"$1,000"
4/7/25,BUTLER FOOD STORE 04/04 PURCHASE NEW BRUNSWICK NJ,-4.99,"7,113.50",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
4/7/25,HUEY'S KNIGHT CLUB 04/04 PURCHASE NEW BRUNSWICK NJ,-13.52,"7,099.98",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
4/7/25,CHIPOTLE 1256 04/06 PURCHASE NEW BRUNSWICK NJ,-13.33,"7,086.65",Food & Dining,8,This is the first time I've ever purchased a new car
4/8/25,SPLITWISE DES:PAYMENT ID:62A6BB9AF3D645B INDN:SPARSH PATEL CO ID:XXXXX00000 PPD,108.13,"7,194.78",Retail,4,*etsy is the name of a company that is listed on the website of the University of Michigan
4/8/25,7-ELEVEN 35664 04/06 PURCHASE NEW BRUNSWICK NJ,-2.69,"7,192.09",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
4/9/25,SPLITWISE DES:PAYMENT ID:C08F2E619E05489 INDN:SPARSH PATEL CO ID:XXXXX00000 PPD,39.42,"7,231.51",Retail,4,*etsy is the name of a company that is listed on the website of the University of Michigan
4/9/25,AMAZON MARK* C37AL2FW3 04/07 PURCHASE AMAZON.COM/MA WA,-30.59,"7,200.92",Retail,7,"$1,000"
4/9/25,PETER'S LIQUORS 04/08 PURCHASE NEW BRUNSWICK NJ,-2.84,"7,198.08",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
4/10/25,CAFE WEST 04/08 PURCHASE NEW BRUNSWICK NJ,-9.5,"7,188.58",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
4/10/25,HUEY'S KNIGHT CLUB 04/08 PURCHASE NEW BRUNSWICK NJ,-9.32,"7,179.26",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
4/14/25,MTA*NYCT PAYGO 04/11 PURCHASE NEW YORK NY,-2.9,"7,176.36",Retail,0,This is a list of all of the items that have been added to the list
4/14/25,MTA*NYCT PAYGO 04/11 PURCHASE NEW YORK NY,-2.9,"7,173.46",Retail,0,This is a list of all of the items that have been added to the list
4/14/25,JOLLIBEE 04/11 PURCHASE NEW YORK NY,-11.97,"7,161.49",Retail,0,This is a list of all of the items that have been added to the list
4/14/25,SQ *ST JAMES THEATRE 04/11 PURCHASE New York NY,-7.53,"7,153.96",Retail,0,This is a list of all of the items that have been added to the list
4/14/25,$1.50 FRESH PIZZA #3 04/11 PURCHASE NEW YORK NY,-1.56,"7,152.40",Retail,0,This is a list of all of the items that have been added to the list
4/14/25,PRIMO CAPPUCCINO 04/11 PURCHASE NEW YORK NY,-7.5,"7,144.90",Retail,0,This is a list of all of the items that have been added to the list
4/14/25,NNT WHAT'S THE 04/13 PURCHASE METUCHEN NJ,-10.84,"7,134.06",Retail,7,"$1,000"
4/15/25,KNIGHTS DELI GROCERY 04/15 PURCHASE NEW BRUNSWICK NJ,-6.01,"7,128.05",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
4/17/25,"SMART ECOSYSTEM, DES:PAYMENT ID:XXXXXXXXXX16144 INDN:SPARSH PATEL CO ID:XXXXX9051 PPD",42.9,"7,170.95",Retail,4,*etsy is the name of a company that is listed on the website of the University of Michigan
4/18/25,WAL-MART #5201 04/18 PURCHASE EDISON NJ,-7.35,"7,163.60",Retail,9,The following is a list of all of the items that are listed in the following order
4/21/25,VENMO DES:REFUND ID:XXXXX53085541 INDN:SPARSH PATEL CO ID:XXXXX81992 PPD,80,"7,243.60",Retail,4,*etsy is the name of a company that is listed on the website of the University of Michigan
4/21/25,7-ELEVEN 35664 04/17 PURCHASE NEW BRUNSWICK NJ,-9.16,"7,234.44",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
4/21/25,KNIGHTS DELI GROCERY 04/19 PURCHASE NEW BRUNSWICK NJ,-10.96,"7,223.48",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
4/21/25,JAKE'S FINE FOODS 04/19 PURCHASE XXX-XX83699 NJ,-16,"7,207.48",Retail,7,"$1,000"
4/21/25,7-ELEVEN 35664 04/19 PURCHASE NEW BRUNSWICK NJ,-8.63,"7,198.85",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
4/21/25,WALGREENS #6908 04/20 PURCHASE NEW BRUNSWICK NJ,-14.87,"7,183.98",Food & Dining,7,"$1,000"
4/21/25,VENMO DES:PAYMENT ID:XXXXX52599245 INDN:SPARSH PATEL CO ID:XXXXX81992 WEB,-80,"7,103.98",Retail,4,*etsy is the name of a company that is listed on the website of the University of Michigan
4/23/25,7-ELEVEN 35664 04/21 PURCHASE NEW BRUNSWICK NJ,-2.99,"7,100.99",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
4/24/25,BUTLER FOOD STORE 04/23 PURCHASE NEW BRUNSWICK NJ,-4.48,"7,096.51",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
4/24/25,PANERA BREAD #606010 K 04/23 PURCHASE PISCATAWAY TO NJ,-3.72,"7,092.79",Retail,7,"$1,000"
4/28/25,Transfer VENMO,49.13,"7,141.92",Retail,2,The transfer keyword is used to indicate that a particular action is being performed
4/28/25,TST*NIRVANIS INDIAN KIT 04/26 PURCHASE New Brunswick NJ,-7.46,"7,134.46",Food & Dining,1,This is the first time I've seen a new product that has been made in the United States
4/28/25,R U HUNGRY 04/26 PURCHASE NEW BRUNSWICK NJ,-29.45,"7,105.01",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
4/28/25,CPI*CANTEEN VENDING AVE 04/27 PURCHASE 800-628-8363 NJ,-2.1,"7,102.91",Retail,7,"$1,000"
4/29/25,TST* 16 HANDLES - RUTGE 04/27 PURCHASE PISCATAWAY NJ,-11.54,"7,091.37",Retail,1,This is the first time I've seen a new product that has been made in the United States
4/29/25,AMAZON PRIME*XL1W49MP3 04/27 PURCHASE Amzn.com/bill WA,-7.99,"7,083.38",Retail,7,"$1,000"
4/30/25,DOLLAR BRUNSWICK LLC 04/29 PURCHASE NEW BRUNSWICK NJ,-4.28,"7,079.10",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
4/30/25,R U HUNGRY 04/29 PURCHASE NEW BRUNSWICK NJ,-6.69,"7,072.41",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
5/1/25,BUTLER FOOD STORE 04/30 PURCHASE NEW BRUNSWICK NJ,-4.88,"7,067.53",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
5/2/25,R U HUNGRY 05/02 PURCHASE NEW BRUNSWICK NJ,-13.38,"7,054.15",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
5/5/25,THE ALE N WICH PUB 05/01 PURCHASE NEW BRUNSWICK NJ,-15.36,"7,038.79",Food & Dining,5,This is a very popular and well-known brand
5/5/25,HUEY'S KNIGHT CLUB 05/03 PURCHASE NEW BRUNSWICK NJ,-14.56,"7,024.23",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
5/5/25,CTLP*CANTEEN VENDING 05/04 PURCHASE CHARLOTTE NC,-2.1,"7,022.13",Retail,7,"$1,000"
5/5/25,CTLP*CANTEEN VENDING 05/04 PURCHASE CHARLOTTE NC,-2.1,"7,020.03",Retail,7,"$1,000"
5/6/25,THE PRINCETON UNIVERSI 05/04 PURCHASE 609-921-8500 NJ,-3.72,"7,016.31",Food & Dining,7,"$1,000"
5/7/25,WAL-MART #2633 05/07 PURCHASE PISCATAWAY NJ,-3.82,"7,012.49",Retail,9,The following is a list of all of the items that are listed in the following order
5/8/25,HUEY'S KNIGHT CLUB 05/06 PURCHASE NEW BRUNSWICK NJ,-8.38,"7,004.11",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
5/8/25,HUEY'S KNIGHT CLUB 05/06 PURCHASE NEW BRUNSWICK NJ,-4.16,"6,999.95",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
5/8/25,HUEY'S KNIGHT CLUB 05/06 PURCHASE NEW BRUNSWICK NJ,-8.32,"6,991.63",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
5/8/25,HUEY'S KNIGHT CLUB 05/06 PURCHASE NEW BRUNSWICK NJ,-5.7,"6,985.93",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
5/8/25,GOLDEN RAIL PUB 05/07 PURCHASE NEW BRUNSWICK NJ,-12.09,"6,973.84",Food & Dining,5,This is a very popular and well-known brand
5/8/25,GOLDEN RAIL PUB 05/07 PURCHASE NEW BRUNSWICK NJ,-5.54,"6,968.30",Food & Dining,5,This is a very popular and well-known brand
5/12/25,CPI*CANTEEN VENDING AVE 05/08 PURCHASE 800-628-8363 NJ,-3.1,"6,965.20",Retail,7,"$1,000"
5/12/25,KNIGHTS DELI GROCERY 05/11 PURCHASE NEW BRUNSWICK NJ,-8.21,"6,956.99",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
5/12/25,BUTLER FOOD STORE 05/10 PURCHASE NEW BRUNSWICK NJ,-18.06,"6,938.93",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
5/12/25,TST*MR. TACOS TAQUERIA 05/10 PURCHASE New Brunswick NJ,-15.99,"6,922.94",Retail,1,This is the first time I've seen a new product that has been made in the United States
5/12/25,VENMO DES:PAYMENT ID:XXXXX08612104 INDN:SPARSH PATEL CO ID:XXXXX81992 WEB,-105.5,"6,817.44",Retail,4,*etsy is the name of a company that is listed on the website of the University of Michigan
5/13/25,CPI*CANTEEN VENDING AVE 05/12 PURCHASE 800-628-8363 NJ,-3.1,"6,814.34",Retail,7,"$1,000"
5/14/25,WOODYS CAFE 05/12 PURCHASE PISCATAWAY NJ,-12.45,"6,801.89",Food & Dining,7,"$1,000"
5/15/25,HUEY'S KNIGHT CLUB 05/13 PURCHASE NEW BRUNSWICK NJ,-10.4,"6,791.49",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
5/15/25,HUEY'S KNIGHT CLUB 05/13 PURCHASE NEW BRUNSWICK NJ,-4.16,"6,787.33",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
5/15/25,HUEY'S KNIGHT CLUB 05/13 PURCHASE NEW BRUNSWICK NJ,-10.4,"6,776.93",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
5/15/25,HUEY'S KNIGHT CLUB 05/13 PURCHASE NEW BRUNSWICK NJ,-5.2,"6,771.73",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
5/15/25,HUEY'S KNIGHT CLUB 05/13 PURCHASE NEW BRUNSWICK NJ,-12.4,"6,759.33",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
5/15/25,GOLDEN RAIL PUB 05/13 PURCHASE NEW BRUNSWICK NJ,-10.32,"6,749.01",Food & Dining,5,This is a very popular and well-known brand
5/15/25,GOLDEN RAIL PUB 05/14 PURCHASE NEW BRUNSWICK NJ,-25.73,"6,723.28",Food & Dining,5,This is a very popular and well-known brand
5/15/25,BUTLER FOOD STORE 05/14 PURCHASE NEW BRUNSWICK NJ,-7.18,"6,716.10",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
5/15/25,AMC 2220 NEW BRUNSWIC 05/14 PURCHASE NEW BRUNSWICK NJ,-13.85,"6,702.25",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
5/15/25,AMC 2220 NEW BRUNSWIC 05/14 PURCHASE NEW BRUNSWICK NJ,-20.02,"6,682.23",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
5/16/25,EASTON SMOKES 05/15 PURCHASE NEW BRUNSWICK NJ,-22.13,"6,660.10",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
